book_id,title,subtitle,authors,publisher,published_date,print_type,page_count,language,categories,isbn_10,isbn_13,is_ebook,list_price_amount,retail_price_amount,currency,text_to_speech_permission,epub_available,pdf_available
b06qDwAAQBAJ,Deep Learning,N/A,John D. Kelleher,MIT Press,,BOOK,296,en,"Computers / Artificial Intelligence / Computer Vision & Pattern Recognition, Computers / Data Science / Machine Learning, Computers / Data Science / Neural Networks",262537559,9780262537551,,499143,299222,VND,ALLOWED,FALSE,TRUE
PmzEzgEACAAJ,"Front-End Back-End Development with HTML, CSS, JavaScript, JQuery, PHP, and MySQL",N/A,Jon Duckett,"John Wiley & Sons, Incorporated",,BOOK,1824,en,"Computers / Programming / General, Computers / Languages / JavaScript, Computers / Languages / HTML, Computers / Languages / PHP, Technology & Engineering / Engineering (General)",1119813093,9781119813095,,2502300,1600682,VND,ALLOWED,FALSE,FALSE
R3vQDwAAQBAJ,Deep Learning Architectures,A Mathematical Approach,Ovidiu Calin,Springer Nature,,BOOK,760,en,"Mathematics / Applied, Mathematics / Probability & Statistics / General, Computers / Artificial Intelligence / General, Mathematics / Discrete Mathematics, Mathematics / General",3030367215,9783030367213,,2221140,1554798,VND,ALLOWED,TRUE,TRUE
aCgeEQAAQBAJ,Mathematical Introduction to Data Science,N/A,Sven A. Wegner,Springer Nature,,BOOK,299,en,"Computers / Database Administration & Management, Mathematics / Probability & Statistics / General, Computers / Artificial Intelligence / General, Computers / Information Technology",3662694263,9783662694268,,2904664,2033265,VND,ALLOWED,FALSE,TRUE
E9oKEQAAQBAJ,Kubernetes and Cloud Native Associate (KCNA) Study Guide,In-Depth Exam Prep and Practice,"Jorge Valenzuela Jiménez, Adrián González Sánchez","O'Reilly Media, Inc.",,BOOK,200,en,"Computers / Software Development & Engineering / Systems Analysis & Design, Computers / Certification Guides / General, Computers / Programming / Open Source, Computers / Distributed Systems / General, Computers / Internet / Web Programming, Study Aids / General, Computers / Internet / Web Services & APIs, Computers / Distributed Systems / Cloud Computing",1098138902,9781098138905,,532295,372606,VND,ALLOWED,TRUE,TRUE
3AzJEAAAQBAJ,Python Data Science,N/A,Chaolemen Borjigin,Springer Nature,,BOOK,345,en,"Computers / Database Administration & Management, Computers / Artificial Intelligence / General, Computers / Information Technology",981197702X,9789811977022,,1879379,1315565,VND,ALLOWED,FALSE,TRUE
ZnWADwAAQBAJ,Understanding Azure Data Factory,Operationalizing Big Data and Advanced Analytics Solutions,"Sudhir Rawat, Abhishek Narain",Apress,,BOOK,368,en,"Computers / Programming / Microsoft, Computers / Business & Productivity Software / General, Computers / Networking / General, Computers / Information Technology, Computers / General, Computers / Networking / Hardware",1484241223,9781484241226,,2012044,1408431,VND,ALLOWED,TRUE,TRUE
miVAEQAAQBAJ,Analytics Modeling in Reliability and Machine Learning and Its Applications,N/A,Hoang Pham,Springer Nature,,BOOK,349,en,"Mathematics / Probability & Statistics / General, Computers / Artificial Intelligence / General, Computers / Hardware / General, Medical / Allied Health Services / General, Technology & Engineering / Industrial Engineering, Mathematics / Optimization, Technology & Engineering / Aeronautics & Astronautics, Computers / Information Technology, Medical / Nursing / General, Technology & Engineering / Manufacturing",3031726367,9783031726361,,4784353,3349047,VND,ALLOWED,TRUE,TRUE
_i6bDeoCQzsC,Clean Code,A Handbook of Agile Software Craftsmanship,Robert C. Martin,Pearson Education,,BOOK,464,en,"Computers / Software Development & Engineering / General, Computers / Software Development & Engineering / Quality Assurance & Testing",136083250,9780136083252,,938720,657104,VND,ALLOWED_FOR_ACCESSIBILITY,FALSE,FALSE
xzVTEAAAQBAJ,AWS Cookbook,Recipes for Success on AWS,"John Culkin, Mike Zazon","O'Reilly Media, Inc.",,BOOK,358,en,"Computers / Distributed Systems / Cloud Computing, Computers / Business & Productivity Software / Business Intelligence, Computers / Internet / Web Programming, Computers / Internet / Web Services & APIs",149209255X,9781492092551,,631393,441975,VND,ALLOWED,TRUE,TRUE
